Unnamed: 0,_id,name
0,0,platelet dense tubular network membrane
2,2,STARD3
6,6,Tooth caries aggravated NOS
34,34,ERBB2 Regulates Cell Motility
38,38,Carbamoylcholine
44,44,nuclear exosome (RNase complex)
65,65,Metaraminol
88,88,ZNF140
107,107,Cardiomegaly
115,115,establishment or maintenance of monopolar cell polarity
144,144,Tazarotene
146,146,ATM1
147,147,mitochondrial large ribosomal subunit
155,155,growth plate cartilage chondrocyte development
177,177,regulation of cellular amino acid biosynthetic process
213,213,SCARNA14
226,226,regulation of protein targeting to mitochondrion
241,241,voluntary skeletal muscle contraction
243,243,WAKMAR2
275,275,Arrhythmogenic Right Ventricular Cardiomyopathy
279,279,tricarboxylic acid cycle enzyme complex
291,291,SNAR-C2
328,328,regulation of cell communication by electrical coupling involved in cardiac conduction
333,333,cellular component assembly involved in morphogenesis
338,338,Transcription of E2F targets under negative control by DREAM complex
354,354,Urinary Incontinence
367,367,ARL2BPP4
373,373,Cervical smear test positive
377,377,Pituitary tumour benign
382,382,positive regulation of vascular endothelial growth factor signaling pathway
434,434,regulation of progesterone biosynthetic process
436,436,establishment of Sertoli cell barrier
443,443,Pharyngolaryngeal pain
448,448,negative regulation of intracellular protein transport
476,476,MARK2P17
513,513,vesicle-mediated transport between endosomal compartments
518,518,Infantile Apparent Life-Threatening Event
534,534,MARCHF11
548,548,cardiac septum cell differentiation
623,623,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'"
624,624,WARS2
627,627,secondary alcohol metabolic process
638,638,cellular response to superoxide
702,702,multivesicular body sorting pathway
706,706,regulation of heart induction by regulation of canonical Wnt signaling pathway
712,712,Application site scar
755,755,cellular response to potassium ion
761,761,nuclear pre-replicative complex
772,772,very-low-density lipoprotein particle assembly
825,825,Pulmonary toxicity
828,828,nuclear euchromatin
844,844,Oestrogen low
858,858,Akt1
863,863,deadenylation-independent decapping of nuclear-transcribed mRNA
871,871,Regulation of PTEN gene transcription
906,906,Intraflagellar transport
912,912,positive regulation of cardiolipin metabolic process
918,918,Breast mass
929,929,regulation of low-density lipoprotein particle receptor binding
959,959,GABRB1
960,960,Ventricular fibrillation
976,976,RNF151
999,999,high-density lipoprotein particle clearance
1000,1000,relaxation of vascular smooth muscle
1030,1030,alveolar lamellar body membrane
1032,1032,SMARCD2
1035,1035,ARG80
1058,1058,Bicarbonate transporters
1059,1059,cellular response to thyroid hormone stimulus
1062,1062,cerebellar molecular layer morphogenesis
1095,1095,arginase activity
1115,1115,Carfilzomib
1116,1116,regulation of branching involved in mammary gland duct morphogenesis
1123,1123,nuclear migration along microtubule
1124,1124,nuclear envelope disassembly
1125,1125,establishment of T cell polarity
1126,1126,positive regulation of low-density lipoprotein particle receptor biosynthetic process
1180,1180,Rad51
1199,1199,cellular response to triacyl bacterial lipopeptide
1200,1200,atrial cardiac muscle cell to AV node cell communication
1218,1218,arylesterase activity
1249,1249,BARD1
1254,1254,dense fibrillar component
1264,1264,STARD4-AS1
1265,1265,RNF11P1
1268,1268,Arthralgia of temporomandibular joint
1276,1276,ventricular zone neuroblast division
1277,1277,regulation of intracellular protein transport
1307,1307,RPGRIP1
1312,1312,PARD6B
1316,1316,RNF144B
1347,1347,PARD3B
1357,1357,regulation of cell cycle arrest
1369,1369,Paroxysmal atrial tachycardia
1383,1383,Kaposi's varicelliform eruption
1389,1389,protein processing involved in protein targeting to mitochondrion
1400,1400,neuron projection arborization
1416,1416,GARP complex
1444,1444,BANF1P3
1447,1447,cellular response to organonitrogen compound
1449,1449,YARS1
1471,1471,ARF4
1472,1472,heart induction
1476,1476,ARGFX
1480,1480,ZNF175
1510,1510,cellular response to vitamin
1521,1521,monocarboxylic acid metabolic process
1548,1548,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
1574,1574,cellular biogenic amine catabolic process
1587,1587,Paresthesia of limbs
1599,1599,vascular cancer
1603,1603,extracellular matrix constituent conferring elasticity
1605,1605,cardiac muscle cell proliferation
1610,1610,endoplasmic reticulum tubular network membrane
1614,1614,ZNF117
1616,1616,MYCBP2-AS1
1619,1619,Single umbilical artery
1627,1627,IFNAR2
1633,1633,intraciliary transport involved in cilium assembly
1659,1659,mammary gland morphogenesis
1677,1677,asparaginyl-tRNA aminoacylation
1681,1681,mitochondrial tricarboxylic acid cycle enzyme complex
1687,1687,AARS1
1692,1692,ARHGAP15
1711,1711,asparaginase activity
1744,1744,Acarodermatitis
1755,1755,Facial paralysis
1767,1767,Hydroxycarboxylic acid-binding receptors
1770,1770,Pharyngitis streptococcal
1772,1772,triglyceride-rich plasma lipoprotein particle
1812,1812,"ligase activity, forming carbon-sulfur bonds"
1828,1828,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen"
1829,1829,regulation of cellular response to stress
1832,1832,ARMCX3
1852,1852,Atrioventricular block complete
1859,1859,WAR1
1872,1872,protein carboxyl O-methyltransferase activity
1878,1878,centrosome separation
1916,1916,endosome transport via multivesicular body sorting pathway
1925,1925,Cardiac syncope
1927,1927,Ovarian failure
1942,1942,insulin-like growth factor ternary complex
1985,1985,Roxarsone
1992,1992,establishment of planar polarity
2019,2019,Pseudobulbar Palsy
2022,2022,nuclear membrane organization
2035,2035,heart valve development
2075,2075,ART4
2097,2097,Cataract diabetic
2181,2181,disaccharide transmembrane transporter activity
2220,2220,ARHGEF2
2224,2224,BARD1 signaling events
2234,2234,Paranoid delusions
2268,2268,Cerebellar syndrome
2273,2273,Aspartate aminotransferase decreased
2293,2293,Coronary artery disease
2326,2326,Paresthesia generalized
2340,2340,ARAP1-AS1
2349,2349,ARSF
2357,2357,Arachnoiditis
2367,2367,Miliaria
2374,2374,negative regulation of megakaryocyte differentiation
2396,2396,alveolar lamellar body
2436,2436,PARP16
2443,2443,positive regulation of multicellular organism growth
2512,2512,ciliary membrane
2519,2519,MARCHF9
2532,2532,vascular endothelial growth factor receptor 2 binding
2551,2551,negative regulation of intracellular steroid hormone receptor signaling pathway
2560,2560,Reflex tachycardia
2566,2566,nuclear inclusion body
2594,2594,RARRES2P8
2618,2618,regulation of cardiac muscle tissue development
2630,2630,positive regulation of vascular endothelial cell proliferation
2640,2640,endoplasmic reticulum-Golgi intermediate compartment organization
2641,2641,regulation of mononuclear cell migration
2647,2647,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
2648,2648,Barr body
2663,2663,somatodendritic compartment
2708,2708,LNCAROD
2735,2735,Generalized urticaria
2736,2736,BRCA1-BARD1 complex
2754,2754,phagosome maturation involved in apoptotic cell clearance
2766,2766,CHEK2P1
2791,2791,mitochondrial alpha-ketoglutarate dehydrogenase complex
2797,2797,Signaling by EGFR
2801,2801,ARHGAP22
2808,2808,regulation of chromosome separation
2824,2824,antral ovarian follicle growth
2850,2850,vestibular aqueduct
2856,2856,nuclear heterochromatin
2862,2862,marginal zone B cell differentiation
2882,2882,voltage-gated sodium channel activity involved in cardiac muscle cell action potential
2908,2908,Tardive dyskinesia
2920,2920,axon target recognition
2963,2963,negative regulation of carbohydrate metabolic process
2967,2967,ZNF660-ZNF197
2977,2977,sarcoplasmic reticulum lumen
2979,2979,Oropharyngeal squamous cell carcinoma
2997,2997,neuromuscular synaptic transmission
2999,2999,extracellular matrix disassembly
3046,3046,oligosaccharide binding
3081,3081,[heparan sulfate]-glucosamine N-sulfotransferase activity
3084,3084,popliteal artery
3090,3090,response to transition metal nanoparticle
3114,3114,amyloid-beta clearance by cellular catabolic process
3140,3140,sarcosine metabolic process
3144,3144,epithelial to mesenchymal transition involved in endocardial cushion formation
3174,3174,Repression of WNT target genes
3179,3179,primary miRNA processing
3194,3194,bone marrow development
3257,3257,aspartic-type endopeptidase inhibitor activity
3273,3273,Muscular weakness
3291,3291,multicellular organismal response to stress
3322,3322,Ovarian neoplasm
3359,3359,Arp2/3 complex-mediated actin nucleation
3375,3375,ATM
3378,3378,Pars planitis
3393,3393,Early menarche
3407,3407,"regulation of symbiosis, encompassing mutualism through parasitism"
3423,3423,farnesol catabolic process
3425,3425,Skin warm
3430,3430,oligosaccharide transport
3433,3433,ARMC7
3464,3464,Breakdown of the nuclear lamina
3465,3465,cellular hyperosmotic salinity response
3472,3472,regulation of systemic arterial blood pressure by endothelin
3475,3475,triglyceride-rich lipoprotein particle remodeling
3478,3478,Bambermycins
3503,3503,ZNF148
3541,3541,IRES-dependent translational initiation of linear mRNA
3555,3555,CARD16
3558,3558,carnosine metabolic process
3581,3581,carnosine biosynthetic process
3612,3612,ZNF10
3627,3627,cartilage development involved in endochondral bone morphogenesis
3638,3638,ErbB2/ErbB3 signaling events
3648,3648,alpha-Arbutin
3663,3663,cellular response to prostaglandin D stimulus
3683,3683,EGFR interacts with phospholipase C-gamma
3686,3686,cellular alkene metabolic process
3690,3690,vestibulocochlear nerve development
3695,3695,cellular amine metabolic process
3698,3698,Carotid sinus syndrome
3705,3705,cellular response to fatty acid
3721,3721,APOB3'MAR
3808,3808,PAR4-mediated thrombin signaling events
3835,3835,negative regulation of mononuclear cell migration
3882,3882,Paresthesia of scalp
3911,3911,ARG81
3921,3921,PRKAR2A
3924,3924,THO complex part of transcription export complex
3936,3936,Arthropathy
3939,3939,NF1P6
3940,3940,signal recognition particle receptor complex
3943,3943,Glabellar reflex abnormal
3949,3949,negative regulation of intracellular signal transduction
3967,3967,L-aspartate import across plasma membrane
3974,3974,cardiac atrium morphogenesis
3989,3989,alpha-ketoglutarate transmembrane transporter activity
4000,4000,intracellular cGMP-activated cation channel activity
4022,4022,Sarcoma uterus
4028,4028,mitochondrial depolarization
4034,4034,EGFR downregulation
4035,4035,ARL2BPP7
4042,4042,cellular pigmentation
4060,4060,PCDH15
4089,4089,intracellular transport of viral protein in host cell
4096,4096,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
4099,4099,positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization
4101,4101,farnesyl diphosphate biosynthetic process
4104,4104,cellular response to zinc ion starvation
4145,4145,tubular endosome
4170,4170,arachidonic acid monooxygenase activity
4172,4172,carbohydrate transmembrane transport
4183,4183,positive regulation of cardiocyte differentiation
4215,4215,regulation of protein localization to ciliary membrane
4217,4217,Lumbar disc lesion
4224,4224,cellular response to cisplatin
4237,4237,Cargo concentration in the ER
4260,4260,tricellular tight junction
4280,4280,GRB2 events in ERBB2 signaling
4285,4285,negative regulation of cardiac muscle hypertrophy
4314,4314,Arcus senilis
4315,4315,RARG
4373,4373,PARK21
4375,4375,ARHGAP31
4378,4378,ARVD6
4386,4386,Salivary gland disorder
4395,4395,RNF144A-AS1
4403,4403,cellular response to growth hormone stimulus
4407,4407,positive regulation of cardiac conduction
4413,4413,SAR1A
4429,4429,negative regulation of extracellular matrix disassembly
4447,4447,PCDH18
4476,4476,positive regulation of translational initiation in response to starvation
4498,4498,membrane depolarization during action potential
4502,4502,Bone marrow toxicity
4551,4551,Warm type haemolytic anaemia
4562,4562,Ear canal erythema
4574,4574,RNF126
4575,4575,mammary gland specification
4596,4596,Hypertrophic cardiomyopathy
4660,4660,outer dynein arm assembly
4698,4698,carbohydrate derivative catabolic process
4703,4703,PEAR1
4726,4726,negative regulation of cellular response to growth factor stimulus
4774,4774,Gouty arthritis
4779,4779,Carotid artery thrombosis
4789,4789,MARCHF8
4815,4815,ARID3BP1
4859,4859,regulation of intracellular cholesterol transport
4887,4887,BCAR4
4896,4896,Postural Orthostatic Tachycardia Syndrome
4900,4900,cellular response to retinoic acid
4912,4912,peptidyl-glutamic acid carboxylation
4913,4913,Gamma-carboxylation of protein precursors
4934,4934,pulmonary valve development
4939,4939,cellular ketone body metabolic process
4958,4958,Plantar fasciitis
4961,4961,"peptidyl-arginine methylation, to symmetrical-dimethyl arginine"
4977,4977,Heart rate abnormal
4978,4978,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
4983,4983,ARMC1
4995,4995,ARID1B
5007,5007,Azilsartan medoxomil
5029,5029,protein localization to ciliary transition zone
5033,5033,Rivaroxaban
5072,5072,Arterial thrombosis
5081,5081,cellular response to muramyl dipeptide
5101,5101,mammary gland bud morphogenesis
5168,5168,MARCHF11-AS1
5170,5170,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
5198,5198,intracellular mRNA localization
5242,5242,ARP1
5264,5264,Biliary fibrosis
5286,5286,Electrocardiogram T wave inversion
5333,5333,cellular phosphate ion homeostasis
5385,5385,Blepharitis
5396,5396,membrane depolarization during AV node cell action potential
5398,5398,Renal tubular acidosis
5417,5417,protein localization to early endosome
5435,5435,Laryngeal haemorrhage
5451,5451,umbilical artery
5464,5464,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
5467,5467,response to bleomycin
5468,5468,cellular response to leucine
5470,5470,ciliary pocket
5489,5489,regulation of heart looping
5499,5499,cardiac muscle cell-cardiac muscle cell adhesion
5500,5500,FFAR2
5506,5506,positive regulation of proteolysis involved in cellular protein catabolic process
5534,5534,maintenance of apical/basal cell polarity
5552,5552,membrane repolarization during cardiac muscle cell action potential
5556,5556,varicosity
5610,5610,Fear
5626,5626,cerebellar granule cell precursor tangential migration
5632,5632,learned vocalization behavior
5642,5642,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen"
5662,5662,positive regulation of cardiac muscle myoblast proliferation
5676,5676,Salivary duct obstruction
5717,5717,FAR1-IT1
5724,5724,nuclear polyadenylation-dependent mRNA catabolic process
5726,5726,meiotic nuclear membrane microtubule tethering complex
5732,5732,cell fate commitment involved in formation of primary germ layer
5744,5744,cellular carbohydrate biosynthetic process
5766,5766,TAAR5
5801,5801,Progesterone Congeners
5821,5821,cargo loading into COPII-coated vesicle
5830,5830,cellular response to low-density lipoprotein particle stimulus
5836,5836,coronary vein morphogenesis
5881,5881,ciliary basal body organization
5898,5898,LARS1
5899,5899,Erbb2
5921,5921,Carbamazepine
5924,5924,ARA1
5985,5985,cellular response to inorganic substance
5993,5993,Multifocal atrial tachycardia
6003,6003,Bicarbonate decreased serum
6018,6018,cellular response to hydrogen sulfide
6032,6032,Roxithromycin
6048,6048,PPARG
6060,6060,monosaccharide biosynthetic process
6093,6093,extracellular negative regulation of signal transduction
6104,6104,cellular hyperosmotic response
6120,6120,Osteoarticular pain
6123,6123,Thyroid carcinoma
6155,6155,ARNTL
6156,6156,STARD5
6183,6183,cellular response to nitrosative stress
6232,6232,LARS2-AS1
6242,6242,internal carotid artery
6284,6284,cardiac pacemaker cell development
6286,6286,regulation of intracellular sterol transport
6290,6290,Butobarbital
6356,6356,ornithine decarboxylase activator activity
6364,6364,Adenocarcinoma
6431,6431,cellular response to sterol depletion
6437,6437,2-oxoglutarate metabolic process
6464,6464,response to mitochondrial depolarisation
6554,6554,ZNF101P1
6567,6567,NOTCH1 Intracellular Domain Regulates Transcription
6571,6571,CARD8-AS1
6576,6576,Oedema auricular
6597,6597,artery morphogenesis
6604,6604,meiotic telomere tethering at nuclear periphery
6607,6607,Dental caries
6656,6656,cellular lactam metabolic process
6674,6674,tarsal gland
6709,6709,ZNF106
